,soft,perf,nb_inputs,is_tech,mae
334,x264,cpu,2,submodular,0.3836688182533187
335,x264,cpu,2,hdbscan,0.8137517761356767
336,x264,cpu,5,random,0.3863920742958548
337,x264,cpu,5,kmeans,0.34434190657361147
338,x264,cpu,5,submodular,0.33704023942708805
339,x264,cpu,5,hdbscan,0.39113848509349997
340,x264,cpu,10,random,0.33305620127685015
341,x264,cpu,10,kmeans,0.35042706536433177
342,x264,cpu,10,submodular,0.33777399663394814
343,x264,cpu,10,hdbscan,0.36339790713024583
344,x264,cpu,25,random,0.32633143849315815
345,x264,cpu,25,kmeans,0.3318046483104322
346,x264,cpu,25,submodular,0.3267907796082322
347,x264,cpu,25,hdbscan,0.3316871926819057
348,x264,cpu,50,random,0.3278523909417874
349,x264,cpu,50,kmeans,0.32971196487545823
350,x264,cpu,50,submodular,0.32549341576943364
351,x264,cpu,50,hdbscan,0.3265739466097573
352,x264,cpu,100,random,0.3231936464933046
353,x264,cpu,100,kmeans,0.33114483594247474
354,x264,cpu,100,submodular,0.3312628436373321
355,x264,cpu,100,hdbscan,0.3258324992075557
356,x264,cpu,200,random,0.3227117317664752
357,x264,cpu,200,kmeans,0.33248278939947085
358,x264,cpu,200,submodular,0.330436027556651
359,x264,cpu,200,hdbscan,0.3265334819649358
360,x264,cpu,300,random,0.32124769967178307
361,x264,cpu,300,kmeans,0.33056892501605806
362,x264,cpu,300,submodular,0.33053164962180565
363,x264,cpu,300,hdbscan,0.32683996122919734
364,x264,cpu,500,random,0.322614953883993
365,x264,cpu,500,kmeans,0.3307468469959877
366,x264,cpu,500,submodular,0.3303549261771683
367,x264,cpu,500,hdbscan,0.32830137046067104
368,x264,cpu,1000,random,0.32551926651708374
369,x264,cpu,1000,kmeans,0.3328135229635084
370,x264,cpu,1000,submodular,0.33624464428123774
371,x264,cpu,1000,hdbscan,0.3287472093595216
372,gcc,size,2,random,0.3822239238235068
373,gcc,size,2,kmeans,0.4833896463605833
374,gcc,size,2,submodular,0.40385901256445206
375,gcc,size,2,hdbscan,0.4040586998931309
376,gcc,size,5,random,0.4008767105001422
377,gcc,size,5,kmeans,0.3828388277275688
378,gcc,size,5,submodular,0.37701535510444245
379,gcc,size,5,hdbscan,0.43670459682971263
380,gcc,size,10,random,0.43220620799026727
381,gcc,size,10,kmeans,0.46571488459521
382,gcc,size,10,submodular,0.40281681112543
383,gcc,size,10,hdbscan,0.42727581446727597
384,gcc,size,20,random,0.4318259681641668
385,gcc,size,20,kmeans,0.43010059926147043
386,gcc,size,20,submodular,0.3220696146062833
387,gcc,size,20,hdbscan,0.4004048274562889
388,gcc,size,25,random,0.432514954988845
389,gcc,size,25,kmeans,0.45629932214088986
390,gcc,size,25,submodular,0.38637726152884244
391,gcc,size,25,hdbscan,0.5196382676231776
392,gcc,ctime,2,random,0.33141250670130296
393,gcc,ctime,2,kmeans,0.3408338303729635
394,gcc,ctime,2,submodular,0.29836054316060234
395,gcc,ctime,2,hdbscan,0.41041185154345133
396,gcc,ctime,5,random,0.37623689431043844
397,gcc,ctime,5,kmeans,0.3288301095431028
398,gcc,ctime,5,submodular,0.3470463462780585
399,gcc,ctime,5,hdbscan,0.35029610170553727
400,gcc,ctime,10,random,0.34451946540918355
401,gcc,ctime,10,kmeans,0.35858946988086626
402,gcc,ctime,10,submodular,0.3510590633439833
403,gcc,ctime,10,hdbscan,0.35102923553022575
404,gcc,ctime,20,random,0.3136125468281351
405,gcc,ctime,20,kmeans,0.3607581531083502
406,gcc,ctime,20,submodular,0.37663681571785274
407,gcc,ctime,20,hdbscan,0.35295855167651696
408,gcc,ctime,25,random,0.3337325657386213
409,gcc,ctime,25,kmeans,0.34173272636472973
410,gcc,ctime,25,submodular,0.34257765396490203
411,gcc,ctime,25,hdbscan,0.37871773792171515
412,gcc,exec,2,random,0.7735479491730314
413,gcc,exec,2,kmeans,0.4657966617306748
414,gcc,exec,2,submodular,0.5045458199962418
415,gcc,exec,2,hdbscan,0.4842912889688414
416,gcc,exec,5,random,0.5434734008830542
417,gcc,exec,5,kmeans,0.7071238639533954
418,gcc,exec,5,submodular,0.8310578940604947
419,gcc,exec,5,hdbscan,0.7691522583784611
420,gcc,exec,10,random,0.578722869860145
421,gcc,exec,10,kmeans,0.6673007629990891
422,gcc,exec,10,submodular,0.6591806355916544
423,gcc,exec,10,hdbscan,0.5447178652053647
424,gcc,exec,20,random,0.64844706289252
425,gcc,exec,20,kmeans,0.5366525192263617
426,gcc,exec,20,submodular,0.4525140212878421
427,gcc,exec,20,hdbscan,0.6906388479169292
