,soft,perf,nb_inputs,is_tech,mae
289,x264,etime,500,kmeans,0.11092975985609625
290,x264,etime,500,submodular,0.11280139206471322
291,x264,etime,500,hdbscan,0.11128119523755309
292,x264,etime,1000,random,0.10651141960887689
293,x264,etime,1000,kmeans,0.10837305207490142
294,x264,etime,1000,submodular,0.1165227718761728
295,x264,etime,1000,hdbscan,0.11481446639994349
296,x264,cpu,5,random,0.3955067213337563
297,x264,cpu,5,kmeans,0.34434190657361147
298,x264,cpu,5,submodular,0.3400691371002279
299,x264,cpu,5,hdbscan,0.39113848509349997
300,x264,cpu,10,random,0.34751431857788767
301,x264,cpu,10,kmeans,0.35042706536433177
302,x264,cpu,10,submodular,0.34216519704172416
303,x264,cpu,10,hdbscan,0.36339790713024583
304,x264,cpu,25,random,0.32723461700018974
305,x264,cpu,25,kmeans,0.33180464831043216
306,x264,cpu,25,submodular,0.327551482812504
307,x264,cpu,25,hdbscan,0.3316871926819057
308,x264,cpu,50,random,0.32932651321989825
309,x264,cpu,50,kmeans,0.32971196487545823
310,x264,cpu,50,submodular,0.32582562930576364
311,x264,cpu,50,hdbscan,0.3265739466097573
312,x264,cpu,100,random,0.3234645222807107
313,x264,cpu,100,kmeans,0.33114483594247474
314,x264,cpu,100,submodular,0.33115888150463635
315,x264,cpu,100,hdbscan,0.3258324992075557
316,x264,cpu,200,random,0.3212529131519588
317,x264,cpu,200,kmeans,0.3324827893994709
318,x264,cpu,200,submodular,0.33043602755665097
319,x264,cpu,200,hdbscan,0.3265334819649358
320,x264,cpu,300,random,0.32365517728465737
321,x264,cpu,300,kmeans,0.33056892501605806
322,x264,cpu,300,submodular,0.3284925683539327
323,x264,cpu,300,hdbscan,0.32683996122919734
324,x264,cpu,500,random,0.324375157292247
325,x264,cpu,500,kmeans,0.3307468469959877
326,x264,cpu,500,submodular,0.3303549261771683
327,x264,cpu,500,hdbscan,0.32830137046067104
328,x264,cpu,1000,random,0.32314637953797754
329,x264,cpu,1000,kmeans,0.3328135229635084
330,x264,cpu,1000,submodular,0.3326485609970567
331,x264,cpu,1000,hdbscan,0.3287472093595216
332,gcc,size,5,random,0.4199214629196553
333,gcc,size,5,kmeans,0.38130869418570845
334,gcc,size,5,submodular,0.38603979364742813
335,gcc,size,5,hdbscan,0.43563813890282777
336,gcc,size,10,random,0.5325644850911656
337,gcc,size,10,kmeans,0.4620459034576882
338,gcc,size,10,submodular,0.39835551796577373
339,gcc,size,10,hdbscan,0.4143508471283259
340,gcc,size,25,random,0.38452847684809754
341,gcc,size,25,kmeans,0.4499499202154624
342,gcc,size,25,submodular,0.3867692948801734
343,gcc,size,25,hdbscan,0.5195835615089375
344,gcc,size,30,random,0.3668973121450952
345,gcc,size,30,kmeans,0.4079069566117302
346,gcc,size,30,hdbscan,0.5487889331706838
347,gcc,ctime,5,random,0.36383844211280325
348,gcc,ctime,5,kmeans,0.3278437049808308
349,gcc,ctime,5,submodular,0.3461312828019659
350,gcc,ctime,5,hdbscan,0.348594273149612
351,gcc,ctime,10,random,0.33493921228921597
352,gcc,ctime,10,kmeans,0.3588518332481939
353,gcc,ctime,10,submodular,0.35119593173477714
354,gcc,ctime,10,hdbscan,0.34902234967555446
355,gcc,ctime,25,random,0.3599971693383093
356,gcc,ctime,25,kmeans,0.3454972696206041
357,gcc,ctime,25,submodular,0.34387015481398236
358,gcc,ctime,25,hdbscan,0.37934386525600666
359,gcc,ctime,30,random,0.32716295498191367
360,gcc,ctime,30,kmeans,0.35193850501362933
361,gcc,ctime,30,hdbscan,0.30854427435420545
362,gcc,exec,5,random,0.5415537376117858
363,gcc,exec,5,kmeans,0.7111426911747946
364,gcc,exec,5,submodular,0.8324843213769079
365,gcc,exec,5,hdbscan,0.7740372327417354
366,gcc,exec,10,random,0.7929261199963404
367,gcc,exec,10,kmeans,0.6742549789213957
368,gcc,exec,10,submodular,0.6673714915626243
369,gcc,exec,10,hdbscan,0.5411858727385382
370,gcc,exec,25,random,0.4628040184125317
371,gcc,exec,25,kmeans,0.485711569653991
372,gcc,exec,25,submodular,0.4382278743710265
373,gcc,exec,25,hdbscan,0.7494021268856249
374,gcc,exec,30,random,0.6110633115320818
375,gcc,exec,30,kmeans,0.44559451936116246
376,gcc,exec,30,hdbscan,0.4507087015214076
377,lingeling,conflicts,5,random,0.9776789160830293
378,lingeling,conflicts,5,kmeans,0.661305677000819
379,lingeling,conflicts,5,submodular,0.88322580163729
380,lingeling,conflicts,5,hdbscan,0.9230332768815555
381,lingeling,conflicts,10,random,0.9296766715931968
382,lingeling,conflicts,10,kmeans,1.012656394185072
383,lingeling,conflicts,10,submodular,0.8965114999867506
384,lingeling,conflicts,10,hdbscan,0.9491580540987321
385,lingeling,conflicts,20,random,0.8759467200905521
386,lingeling,conflicts,20,kmeans,1.00701172400994
387,lingeling,conflicts,20,submodular,0.9213900232697423
388,lingeling,conflicts,20,hdbscan,0.9012183002052246
389,lingeling,conflicts,50,random,0.8521975487655713
390,lingeling,conflicts,50,kmeans,1.0064636933955717
391,lingeling,conflicts,50,submodular,0.9928487554737485
392,lingeling,conflicts,50,hdbscan,0.8399858622196973
393,lingeling,conflicts,100,random,0.8418835182005882
394,lingeling,conflicts,100,kmeans,1.0243161009557245
395,lingeling,conflicts,100,submodular,0.9467374566873868
396,lingeling,conflicts,100,hdbscan,0.8046649837894144
397,lingeling,conflicts,150,random,0.8003967503858055
398,lingeling,conflicts,150,kmeans,1.0218947660774127
399,lingeling,conflicts,150,submodular,0.8528530305904989
400,lingeling,conflicts,150,hdbscan,0.8319186854007388
401,lingeling,conflicts,200,random,0.7898692033398375
402,lingeling,conflicts,200,kmeans,0.750526170953064
403,lingeling,conflicts,200,submodular,0.898520958533037
404,lingeling,conflicts,200,hdbscan,0.8574320724667759
405,lingeling,cps,5,random,0.9792719582293303
406,lingeling,cps,5,kmeans,0.6631797601956717
